org_id,supplier_name,name_with_id
2164,Sfpuc City Distribution Division,Sfpuc City Distribution Division - 2164
2057,Rincon Del Diablo Mwd Id - A,Rincon Del Diablo Mwd Id - A - 2057
417,Cwsc Salinas Hills,Cwsc Salinas Hills - 417
2273,City Of Shasta Lake,City Of Shasta Lake - 2273
2536,City Of Ukiah,City Of Ukiah - 2536
2424,Sunnyslope County Water District,Sunnyslope County Water District - 2424
57,City Of American Canyon,City Of American Canyon - 57
167,Bella Vista Water District,Bella Vista Water District - 167
198,Big Bear Lake Dwp - Big Bear System,Big Bear Lake Dwp - Big Bear System - 198
2214,Santa Fe Irrigation District,Santa Fe Irrigation District - 2214
1827,City Of Oxnard Water Department,City Of Oxnard Water Department - 1827
2122,Running Springs Water District,Running Springs Water District - 2122
2891,Sbdno County Service Area 70j,Sbdno County Service Area 70j - 2891
1093,City Of Greenfield,City Of Greenfield - 1093
2154,Sbdno County Service Area 64,Sbdno County Service Area 64 - 2154
2087,Riverside Highland Water Company,Riverside Highland Water Company - 2087
1270,Joshua Basin Water District,Joshua Basin Water District - 1270
2510,Triunfo Water & Sanitation District,Triunfo Water & Sanitation District - 2510
654,Crestline Village Cwd - Division 10,Crestline Village Cwd - Division 10 - 654
1452,City Of Loma Linda,City Of Loma Linda - 1452
1953,City Of Port Hueneme Water Department,City Of Port Hueneme Water Department - 1953
197,Big Bear City Community Services District,Big Bear City Community Services District - 197
1368,Lakeside Water District,Lakeside Water District - 1368
1896,Phelan Pinon Hills Community Services District,Phelan Pinon Hills Community Services District - 1896
2530,Twentynine Palms Water District,Twentynine Palms Water District - 2530
2222,City Of Santa Paula,City Of Santa Paula - 2222
1990,Rainbow Municipal Water District,Rainbow Municipal Water District - 1990
1343,Lake Arrowhead Community Services District,Lake Arrowhead Community Services District - 1343
467,Camrosa Water District,Camrosa Water District - 467
873,Fallbrook Public Utility District,Fallbrook Public Utility District - 873
1996,Ramona Municipal Water District,Ramona Municipal Water District - 1996
2604,Valley Center Mwd,Valley Center Mwd - 2604
1167,Hi Desert Water District,Hi Desert Water District - 1167
596,City Of Colton,City Of Colton - 596
2629,Ventura Cwwd No. 1 - Moorpark,Ventura Cwwd No. 1 - Moorpark - 2629
2162,San Dieguito Water District,San Dieguito Water District - 2162
1642,Monte Vista Water District,Monte Vista Water District - 1642
2049,City Of Rialto,City Of Rialto - 2049
2469,City Of Thousand Oaks Water Department,City Of Thousand Oaks Water Department - 2469
2541,City Of Upland,City Of Upland - 2541
2690,West Valley Water District,West Valley Water District - 2690
545,City Of Chino,City Of Chino - 545
793,East Valley Water District,East Valley Water District - 793
547,City Of Chino Hills,City Of Chino Hills - 547
1838,Padre Dam Mwd,Padre Dam Mwd - 1838
2631,Ventura Wwd No. 8 - Simi Valley,Ventura Wwd No. 8 - Simi Valley - 2631
478,Carlsbad Mwd,Carlsbad Mwd - 478
2649,Vista Irrigation District,Vista Irrigation District - 2649
2158,Ventura Water Department,Ventura Water Department - 2158
1795,Ontario Municipal Utilities Company,Ontario Municipal Utilities Company - 1795
2437,Sweetwater Authority,Sweetwater Authority - 2437
2635,Victorville Water District,Victorville Water District - 2635
369,Cal Am Water Company - Monterey,Cal Am Water Company - Monterey - 369
1777,City Of Oceanside,City Of Oceanside - 1777
2150,San Bernardino City,San Bernardino City - 2150
2166,San Gabriel Valley Water Company - Fontana,San Gabriel Valley Water Company - Fontana - 2166
664,Cucamonga Valley Water District,Cucamonga Valley Water District - 664
2160,City Of San Diego,City Of San Diego - 2160
1804,Orchard Dale Water District,Orchard Dale Water District - 1804
1456,"Lomita - City, Water Department","Lomita - City, Water Department - 1456"
827,"El Segundo - City, Water Department","El Segundo - City, Water Department - 827"
2163,"San Fernando - City, Water Department","San Fernando - City, Water Department - 2163"
99,City Of Arroyo Grande Utilities Division,City Of Arroyo Grande Utilities Division - 99
170,Bellflower - Somerset Mutual Water Company,Bellflower - Somerset Mutual Water Company - 170
1481,Los Angeles Cwwd 29 & 80 - Malibu,Los Angeles Cwwd 29 & 80 - Malibu - 1481
651,Crescenta Valley Cwd,Crescenta Valley Cwd - 651
644,"Covina - City, Water Department","Covina - City, Water Department - 644"
1506,"Lynwood - City, Water Department","Lynwood - City, Water Department - 1506"
2341,"South Gate - City, Water Department","South Gate - City, Water Department - 2341"
524,"Cerritos - City, Water Department","Cerritos - City, Water Department - 524"
1068,Goleta Water District,Goleta Water District - 1068
2220,"Santa Monica - City, Water Division","Santa Monica - City, Water Division - 2220"
